cty,Name,Fraction_Married_rP_gP_pall
cty49031,"Piute County, UT",0.8398
cty31085,"Hayes County, NE",0.8194
cty31115,"Loup County, NE",0.8019
cty49001,"Beaver County, UT",0.8011
cty20199,"Wallace County, KS",0.7788
cty30075,"Powder River County, MT",0.7724
cty49055,"Wayne County, UT",0.7683
cty49029,"Morgan County, UT",0.7671
cty16065,"Madison County, ID",0.758
cty49027,"Millard County, UT",0.7578
cty49033,"Rich County, UT",0.755
cty16041,"Franklin County, ID",0.7533
cty31009,"Blaine County, NE",0.7524
cty19167,"Sioux County, IA",0.7502
cty46063,"Harding County, SD",0.75
cty49017,"Garfield County, UT",0.7477
cty30051,"Liberty County, MT",0.7456
cty46043,"Douglas County, SD",0.7437
cty30071,"Phillips County, MT",0.74
cty38091,"Steele County, ND",0.7375
cty38001,"Adams County, ND",0.7369
cty31075,"Grant County, NE",0.732
cty46055,"Haakon County, SD",0.7317
cty31015,"Boyd County, NE",0.7298
cty31165,"Sioux County, NE",0.7271
cty31149,"Rock County, NE",0.7247
cty19119,"Lyon County, IA",0.7236
cty31035,"Clay County, NE",0.7225
cty46077,"Kingsbury County, SD",0.7225
cty38087,"Slope County, ND",0.7206
cty31027,"Cedar County, NE",0.7203
cty46057,"Hamlin County, SD",0.7191
cty49015,"Emery County, UT",0.7187
cty38051,"McIntosh County, ND",0.7184
cty31063,"Frontier County, NE",0.7183
cty38045,"LaMoure County, ND",0.7171
cty16081,"Teton County, ID",0.7162
cty31003,"Antelope County, NE",0.7156
cty39075,"Holmes County, OH",0.7154
cty16051,"Jefferson County, ID",0.7132
cty20083,"Hodgeman County, KS",0.7121
cty49039,"Sanpete County, UT",0.7117
cty38007,"Billings County, ND",0.7114
cty31039,"Cuming County, NE",0.7111
cty20179,"Sheridan County, KS",0.7109
cty16007,"Bear Lake County, ID",0.7098
cty31065,"Furnas County, NE",0.7095
cty49041,"Sevier County, UT",0.7091
cty31183,"Wheeler County, NE",0.7087
cty20069,"Gray County, KS",0.7077
cty20203,"Wichita County, KS",0.7074
cty38047,"Logan County, ND",0.7064
cty27081,"Lincoln County, MN",0.7061
cty49051,"Wasatch County, UT",0.7053
cty30109,"Wibaux County, MT",0.7038
cty48393,"Roberts County, TX",0.7018
cty38043,"Kidder County, ND",0.7009
cty40003,"Alfalfa County, OK",0.7008
cty20071,"Greeley County, KS",0.7003
cty49005,"Cache County, UT",0.6997
cty31083,"Harlan County, NE",0.6993
cty16071,"Oneida County, ID",0.6991
cty31171,"Thomas County, NE",0.6986
cty31163,"Sherman County, NE",0.6986
cty49049,"Utah County, UT",0.6984
cty38081,"Sargent County, ND",0.6982
cty20131,"Nemaha County, KS",0.6979
cty49003,"Box Elder County, UT",0.6973
cty16033,"Clark County, ID",0.6964
cty46067,"Hutchinson County, SD",0.6947
cty38011,"Bowman County, ND",0.6931
cty16043,"Fremont County, ID",0.6928
cty29103,"Knox County, MO",0.6928
cty31139,"Pierce County, NE",0.6927
cty31011,"Boone County, NE",0.6925
cty18087,"LaGrange County, IN",0.6925
cty31129,"Nuckolls County, NE",0.6924
cty38025,"Dunn County, ND",0.6917
cty16037,"Custer County, ID",0.6909
cty20119,"Meade County, KS",0.6903
cty19023,"Butler County, IA",0.6895
cty30019,"Daniels County, MT",0.6894
cty48205,"Hartley County, TX",0.6892
cty31175,"Valley County, NE",0.6888
cty20063,"Gove County, KS",0.6884
cty30011,"Carter County, MT",0.6884
cty19131,"Mitchell County, IA",0.6882
cty31059,"Fillmore County, NE",0.6882
cty19035,"Cherokee County, IA",0.6881
cty19027,"Carroll County, IA",0.6877
cty19141,"O'Brien County, IA",0.6876
cty46073,"Jerauld County, SD",0.6862
cty56011,"Crook County, WY",0.6846
cty38037,"Grant County, ND",0.684
cty19009,"Audubon County, IA",0.6838
cty49021,"Iron County, UT",0.6835
cty31103,"Keya Paha County, NE",0.6835
cty56035,"Sublette County, WY",0.683
cty32017,"Lincoln County, NV",0.6829
cty49047,"Uintah County, UT",0.6824
cty40053,"Grant County, OK",0.6819
cty31089,"Holt County, NE",0.6819
cty08009,"Baca County, CO",0.6816
cty20075,"Hamilton County, KS",0.6815
cty31107,"Knox County, NE",0.6802
cty46087,"McCook County, SD",0.6802
cty49013,"Duchesne County, UT",0.6801
cty27133,"Rock County, MN",0.6798
cty38023,"Divide County, ND",0.678
cty46039,"Deuel County, SD",0.6779
cty31135,"Perkins County, NE",0.6774
cty27149,"Stevens County, MN",0.6774
cty19109,"Kossuth County, IA",0.6772
cty16029,"Caribou County, ID",0.6769
cty31181,"Webster County, NE",0.6766
cty19161,"Sac County, IA",0.6763
cty48033,"Borden County, TX",0.6758
cty46021,"Campbell County, SD",0.6757
cty49023,"Juab County, UT",0.6753
cty46061,"Hanson County, SD",0.6751
cty38103,"Wells County, ND",0.6749
cty46003,"Aurora County, SD",0.6748
cty19093,"Ida County, IA",0.6741
cty19037,"Chickasaw County, IA",0.6728
cty20017,"Chase County, KS",0.6727
cty31179,"Wayne County, NE",0.672
cty49011,"Davis County, UT",0.6718
cty39107,"Mercer County, OH",0.6714
cty20141,"Osborne County, KS",0.6708
cty46025,"Clark County, SD",0.67
cty46125,"Turner County, SD",0.6697
cty46049,"Faulk County, SD",0.6695
cty56023,"Lincoln County, WY",0.6686
cty27117,"Pipestone County, MN",0.668
cty53043,"Lincoln County, WA",0.6679
cty20165,"Rush County, KS",0.6676
cty38077,"Richland County, ND",0.6675
cty19055,"Delaware County, IA",0.6673
cty38073,"Ransom County, ND",0.667
cty31137,"Phelps County, NE",0.6668
cty20123,"Mitchell County, KS",0.6665
cty31159,"Seward County, NE",0.6665
cty20117,"Marshall County, KS",0.6663
cty16011,"Bingham County, ID",0.6659
cty46097,"Miner County, SD",0.6659
cty46075,"Jones County, SD",0.6658
cty31041,"Custer County, NE",0.6657
cty39137,"Putnam County, OH",0.6654
cty20187,"Stanton County, KS",0.6654
cty31077,"Greeley County, NE",0.6644
cty27173,"Yellow Medicine County, MN",0.6639
cty31061,"Franklin County, NE",0.6638
cty49053,"Washington County, UT",0.6637
cty19147,"Palo Alto County, IA",0.6637
cty19143,"Osceola County, IA",0.6634
cty31143,"Polk County, NE",0.663
cty18001,"Adams County, IN",0.6628
cty38029,"Emmons County, ND",0.6628
cty18037,"Dubois County, IN",0.6625
cty38055,"McLean County, ND",0.6622
cty20201,"Washington County, KS",0.6619
cty19017,"Bremer County, IA",0.6615
cty19151,"Pocahontas County, IA",0.66
cty30015,"Chouteau County, MT",0.6585
cty31073,"Gosper County, NE",0.6585
cty20089,"Jewell County, KS",0.6585
cty20193,"Thomas County, KS",0.6579
cty30039,"Granite County, MT",0.6577
cty27101,"Murray County, MN",0.6573
cty27125,"Red Lake County, MN",0.6573
cty27011,"Big Stone County, MN",0.657
cty20033,"Comanche County, KS",0.6569
cty31169,"Thayer County, NE",0.6569
cty46059,"Hand County, SD",0.6569
cty38009,"Bottineau County, ND",0.6563
cty20023,"Cheyenne County, KS",0.6563
cty38065,"Oliver County, ND",0.6557
cty46111,"Sanborn County, SD",0.6557
cty17013,"Calhoun County, IL",0.6556
cty20039,"Decatur County, KS",0.6556
cty19159,"Ringgold County, IA",0.6553
cty31087,"Hitchcock County, NE",0.6542
cty19091,"Humboldt County, IA",0.6538
cty38097,"Traill County, ND",0.6537
cty46053,"Gregory County, SD",0.6535
cty48421,"Sherman County, TX",0.6532
