New_York_State_Statewide_COVID-19_Testing (1),,,,,,
Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Infection Rate
04/29/2020,Albany,98,"1,165",439,"10,310",11.29970902
04/29/2020,Allegany,0,35,18,543,6.445672192
04/29/2020,Bronx,644,"37,244","2,977","90,231",41.27627977
04/29/2020,Broome,11,284,114,"2,361",12.02880136
04/29/2020,Cattaraugus,0,47,85,909,5.170517052
04/29/2020,Cayuga,0,48,25,957,5.015673981
04/29/2020,Chautauqua,2,33,39,"1,160",2.844827586
04/29/2020,Chemung,3,122,84,"1,563",7.805502239
04/29/2020,Chenango,2,98,25,789,12.4207858
04/29/2020,Clinton,0,59,40,748,7.887700535
04/29/2020,Columbia,5,170,61,"1,302",13.05683564
04/29/2020,Cortland,0,28,26,"1,112",2.517985612
04/29/2020,Delaware,1,61,24,729,8.367626886
04/29/2020,Dutchess,73,"2,954",427,"14,642",20.1748395
04/29/2020,Erie,123,"3,319",885,"16,104",20.60978639
04/29/2020,Essex,1,28,22,363,7.713498623
04/29/2020,Franklin,0,15,14,374,4.010695187
04/29/2020,Fulton,4,71,27,791,8.975979772
04/29/2020,Genesee,1,153,32,"1,006",15.20874751
04/29/2020,Greene,17,131,59,"1,124",11.65480427
04/29/2020,Hamilton,0,3,0,38,7.894736842
04/29/2020,Herkimer,0,58,28,792,7.323232323
04/29/2020,Jefferson,1,61,36,"1,518",4.018445323
04/29/2020,Kings,636,"44,872","3,944","111,490",40.24755583
04/29/2020,Lewis,0,9,14,314,2.866242038
04/29/2020,Livingston,2,69,34,"1,025",6.731707317
04/29/2020,Madison,5,131,12,"1,215",10.781893
04/29/2020,Monroe,37,"1,441",469,"14,015",10.28184088
04/29/2020,Montgomery,2,53,14,698,7.593123209
04/29/2020,Nassau,349,"35,854","2,424","95,200",37.66176471
04/29/2020,New York,316,"21,920","2,299","66,602",32.91192457
04/29/2020,Niagara,19,420,154,"2,544",16.50943396
04/29/2020,Oneida,17,439,145,"3,426",12.813777
04/29/2020,Onondaga,50,832,343,"10,667",7.799756258
04/29/2020,Ontario,0,90,78,"1,611",5.586592179
04/29/2020,Orange,162,"8,650",880,"27,222",31.7757696
04/29/2020,Orleans,4,89,35,628,14.17197452
04/29/2020,Oswego,0,63,45,"1,592",3.957286432
04/29/2020,Otsego,1,67,45,"1,246",5.377207063
04/29/2020,Putnam,24,970,251,"4,170",23.26139089
04/29/2020,Queens,890,"51,631","4,201","120,689",42.78020366
04/29/2020,Rensselaer,25,287,142,"3,308",8.675937122
04/29/2020,Richmond,151,"11,811",841,"33,486",35.27145673
04/29/2020,Rockland,122,"11,708",691,"30,593",38.27019253
04/29/2020,Saratoga,8,354,195,"5,039",7.025203413
04/29/2020,Schenectady,22,501,246,"4,174",12.00287494
04/29/2020,Schoharie,3,42,17,609,6.896551724
04/29/2020,Schuyler,0,7,7,412,1.699029126
04/29/2020,Seneca,1,39,24,475,8.210526316
04/29/2020,St. Lawrence,3,173,277,"1,826",9.474260679
04/29/2020,Steuben,2,216,63,"2,037",10.60382916
04/29/2020,Suffolk,399,"33,664","2,193","91,361",36.84723241
04/29/2020,Sullivan,27,838,102,"3,743",22.38845846
04/29/2020,Tioga,4,88,69,884,9.954751131
04/29/2020,Tompkins,1,128,19,"3,511",3.64568499
04/29/2020,Ulster,27,"1,279",309,"8,082",15.82529077
04/29/2020,Warren,24,176,105,"1,373",12.8186453
04/29/2020,Washington,14,148,58,"1,005",14.72636816
04/29/2020,Wayne,1,71,54,"1,239",5.730427764
04/29/2020,Westchester,344,"28,970","1,842","92,829",31.20791994
04/29/2020,Wyoming,2,67,17,568,11.79577465
04/29/2020,Yates,1,18,10,262,6.870229008
04/28/2020,Albany,58,"1,067",351,"9,871",
04/28/2020,Allegany,0,35,26,525,
04/28/2020,Bronx,606,"36,600","2,938","87,254",
04/28/2020,Broome,7,273,87,"2,247",
04/28/2020,Cattaraugus,2,47,76,824,
04/28/2020,Cayuga,0,48,34,932,
04/28/2020,Chautauqua,1,31,64,"1,121",
04/28/2020,Chemung,6,119,96,"1,479",
04/28/2020,Chenango,1,96,18,764,
04/28/2020,Clinton,0,59,23,708,
04/28/2020,Columbia,11,165,37,"1,241",
04/28/2020,Cortland,0,28,22,"1,086",
04/28/2020,Delaware,1,60,14,705,
04/28/2020,Dutchess,64,"2,881",566,"14,215",
04/28/2020,Erie,107,"3,196",716,"15,219",
04/28/2020,Essex,1,27,19,341,
04/28/2020,Franklin,1,15,17,360,
04/28/2020,Fulton,1,67,27,764,
04/28/2020,Genesee,3,152,26,974,
04/28/2020,Greene,2,114,24,"1,065",
04/28/2020,Hamilton,0,3,2,38,
04/28/2020,Herkimer,0,58,28,764,
04/28/2020,Jefferson,0,60,28,"1,482",
04/28/2020,Kings,649,"44,236","3,873","107,546",
04/28/2020,Lewis,0,9,4,300,
04/28/2020,Livingston,2,67,36,991,
04/28/2020,Madison,0,126,47,"1,203",
04/28/2020,Monroe,33,"1,404",530,"13,546",
04/28/2020,Montgomery,2,51,18,684,
04/28/2020,Nassau,420,"35,505","2,509","92,776",
04/28/2020,New York,292,"21,604","2,260","64,303",
04/28/2020,Niagara,15,401,130,"2,390",
04/28/2020,Oneida,11,422,124,"3,281",
04/28/2020,Onondaga,40,782,386,"10,324",
04/28/2020,Ontario,0,90,60,"1,533",
04/28/2020,Orange,114,"8,488",602,"26,342",
04/28/2020,Orleans,5,85,26,593,
04/28/2020,Oswego,0,63,39,"1,547",
04/28/2020,Otsego,1,66,34,"1,201",
04/28/2020,Putnam,14,946,150,"3,919",
04/28/2020,Queens,812,"50,741","4,061","116,488",
04/28/2020,Rensselaer,12,262,91,"3,166",
04/28/2020,Richmond,144,"11,660",935,"32,645",
04/28/2020,Rockland,133,"11,586",528,"29,902",
04/28/2020,Saratoga,3,346,125,"4,844",
04/28/2020,Schenectady,10,479,184,"3,928",
04/28/2020,Schoharie,1,39,21,592,
04/28/2020,Schuyler,0,7,15,405,
04/28/2020,Seneca,0,38,13,451,
04/28/2020,St. Lawrence,0,170,84,"1,549",
04/28/2020,Steuben,4,214,105,"1,974",
04/28/2020,Suffolk,541,"33,265","2,669","89,168",
04/28/2020,Sullivan,42,811,114,"3,641",
04/28/2020,Tioga,2,84,68,815,
04/28/2020,Tompkins,1,127,119,"3,492",
04/28/2020,Ulster,22,"1,252",335,"7,773",
04/28/2020,Warren,2,152,12,"1,268",
04/28/2020,Washington,3,134,19,947,
04/28/2020,Wayne,0,70,45,"1,185",
04/28/2020,Westchester,381,"28,626","1,843","90,987",
04/28/2020,Wyoming,2,65,26,551,
04/28/2020,Yates,0,17,8,252,
04/27/2020,Albany,30,"1,009",197,"9,520",
04/27/2020,Allegany,0,35,14,499,
04/27/2020,Bronx,438,"35,994","2,107","84,316",
04/27/2020,Broome,5,266,60,"2,160",
04/27/2020,Cattaraugus,0,45,15,748,
04/27/2020,Cayuga,0,48,20,898,
04/27/2020,Chautauqua,0,30,26,"1,057",
04/27/2020,Chemung,5,113,64,"1,383",
04/27/2020,Chenango,0,95,10,746,
04/27/2020,Clinton,0,59,15,685,
04/27/2020,Columbia,8,154,33,"1,204",
04/27/2020,Cortland,0,28,7,"1,064",
04/27/2020,Delaware,1,59,16,691,
04/27/2020,Dutchess,24,"2,817",223,"13,649",
04/27/2020,Erie,68,"3,089",586,"14,503",
04/27/2020,Essex,2,26,16,322,
04/27/2020,Franklin,0,14,13,343,
04/27/2020,Fulton,4,66,16,737,
04/27/2020,Genesee,1,149,28,948,
04/27/2020,Greene,1,112,20,"1,041",
04/27/2020,Hamilton,0,3,1,36,
04/27/2020,Herkimer,0,58,14,736,
04/27/2020,Jefferson,0,60,15,"1,454",
04/27/2020,Kings,573,"43,587","2,940","103,673",
04/27/2020,Lewis,0,9,6,296,
04/27/2020,Livingston,3,65,24,955,
04/27/2020,Madison,2,126,26,"1,156",
04/27/2020,Monroe,40,"1,371",543,"13,016",
04/27/2020,Montgomery,2,49,19,666,
04/27/2020,Nassau,220,"35,085","1,499","90,267",
04/27/2020,New York,215,"21,312","1,650","62,043",
04/27/2020,Niagara,8,386,89,"2,260",
04/27/2020,Oneida,14,411,132,"3,157",
04/27/2020,Onondaga,16,742,268,"9,938",
04/27/2020,Ontario,4,90,50,"1,473",
04/27/2020,Orange,136,"8,374",645,"25,740",
04/27/2020,Orleans,0,80,8,567,
04/27/2020,Oswego,2,63,40,"1,508",
04/27/2020,Otsego,3,65,33,"1,167",
04/27/2020,Putnam,7,932,82,"3,769",
04/27/2020,Queens,530,"49,929","2,628","112,427",
04/27/2020,Rensselaer,4,250,39,"3,075",
04/27/2020,Richmond,93,"11,516",567,"31,710",
04/27/2020,Rockland,87,"11,453",537,"29,374",
04/27/2020,Saratoga,7,343,116,"4,719",
04/27/2020,Schenectady,12,469,119,"3,744",
04/27/2020,Schoharie,3,38,19,571,
04/27/2020,Schuyler,0,7,8,390,
04/27/2020,Seneca,0,38,9,438,
04/27/2020,St. Lawrence,1,170,19,"1,465",
04/27/2020,Steuben,1,210,58,"1,869",
04/27/2020,Suffolk,254,"32,724","1,429","86,499",
04/27/2020,Sullivan,21,769,77,"3,527",
04/27/2020,Tioga,11,82,86,747,
04/27/2020,Tompkins,0,126,13,"3,373",
04/27/2020,Ulster,11,"1,230",94,"7,438",
04/27/2020,Warren,3,150,25,"1,256",
04/27/2020,Washington,1,131,13,928,
04/27/2020,Wayne,1,70,53,"1,140",
04/27/2020,Westchester,238,"28,245","1,408","89,144",
04/27/2020,Wyoming,0,63,9,525,
04/27/2020,Yates,0,17,3,244,
04/26/2020,Albany,31,979,263,"9,323",
04/26/2020,Allegany,0,35,9,485,
04/26/2020,Bronx,586,"35,556","2,363","82,209",
04/26/2020,Broome,4,261,69,"2,100",
04/26/2020,Cattaraugus,0,45,21,733,
04/26/2020,Cayuga,1,48,20,878,
04/26/2020,Chautauqua,1,30,101,"1,031",
04/26/2020,Chemung,2,108,20,"1,319",
04/26/2020,Chenango,2,95,23,736,
04/26/2020,Clinton,2,59,30,670,
04/26/2020,Columbia,3,146,22,"1,171",
